DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd0906-1,Uppsala University,DORIS,2012
snd2015-1,Uppsala University,DORIS,2012
snd2014-1,Uppsala University,DORIS,2012
snd2248-1,Uppsala University,DORIS,2012
snd2000-1,Uppsala University,DORIS,2012
snd2058-1,Uppsala University,DORIS,2012
snd2058-1,Uppsala University,DORIS,2014
snd2059-1,Uppsala University,DORIS,2012
snd2059-1,Uppsala University,DORIS,2014
snd2060-1,Uppsala University,DORIS,2012
snd2060-1,Uppsala University,DORIS,2014
snd2061-1,Uppsala University,DORIS,2012
snd2061-1,Uppsala University,DORIS,2012
snd2061-1,Uppsala University,DORIS,2014
snd2062-1,Uppsala University,DORIS,2012
snd2062-1,Uppsala University,DORIS,2014
snd2063-1,Uppsala University,DORIS,2012
snd2063-1,Uppsala University,DORIS,2014
snd2064-1,Uppsala University,DORIS,2012
snd2064-1,Uppsala University,DORIS,2014
snd2065-1,Uppsala University,DORIS,2012
snd2065-1,Uppsala University,DORIS,2014
snd2066-1,Uppsala University,DORIS,2012
snd2066-1,Uppsala University,DORIS,2014
snd2067-1,Uppsala University,DORIS,2012
snd2067-1,Uppsala University,DORIS,2014
snd2068-1,Uppsala University,DORIS,2012
snd2068-1,Uppsala University,DORIS,2014
snd2069-1,Uppsala University,DORIS,2012
snd2069-1,Uppsala University,DORIS,2014
snd2070-1,Uppsala University,DORIS,2012
2024-201,Linköping University,DORIS,2017
2024-217,Uppsala University,DORIS,2018
2024-200,Royal Institute of Technology,DORIS,2017
2024-144,Uppsala University,DORIS,2024
2024-187,Linköping University,DORIS,2016
2024-225,Linköping University,DORIS,2018
2024-182,Luleå University of Technology,DORIS (only metadata),2024
2024-198,Uppsala University,DORIS,2017
2024-359,Linköping University,DORIS,2022
2024-478,Swedish University of Agricultural Sciences,DORIS,2024
2024-355,Linköping University,DORIS,2022
2024-248,Luleå University of Technology,DORIS,2018
2024-254,Linköping University,DORIS,2018
2024-256,Linköping University,DORIS,2018
2024-272,Royal Institute of Technology,DORIS,2019
2024-262,Royal Institute of Technology,DORIS,2019
2024-636,Umeå University,DORIS,2025
2024-56,Swedish University of Agricultural Sciences,DORIS,2024
2024-388,University West,DORIS,2022
2024-11,Swedish University of Agricultural Sciences,DORIS (only metadata),2024
2024-319,Uppsala University,DORIS,2020
ext0304-1,Institute for Language and Folklore,DORIS (only metadata),2020
2024-296,Malmö University,DORIS,2020
2024-74,Swedish University of Agricultural Sciences,DORIS,2024
2024-75,University of Gothenburg,DORIS,2024
2024-298,Malmö University,DORIS,2020
2024-444,Karolinska Institutet,DORIS,2024
2024-345,Uppsala University,DORIS,2021
snd1089-1,University of Gothenburg,DORIS,2024
2024-343,Uppsala University,DORIS,2021
2024-315,Uppsala University,DORIS,2020
2024-357,Uppsala University,DORIS,2022
2024-339,Uppsala University,DORIS,2021
2024-257,Uppsala University,DORIS (only metadata),2024
2024-390,Luleå University of Technology,DORIS,2023
2024-335,Uppsala University,DORIS,2021
2024-441,Uppsala University,DORIS,2025
2024-440,University of Gävle,DORIS,2025
snd0306-1,University of Gothenburg,DORIS,1992
