URL,SourceRepository,YearPublished,Publisher1
https://researchdata.se/en/catalogue/dataset/2021-272-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-260-1,DORIS,2022,University West
https://researchdata.se/en/catalogue/dataset/2021-276-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-27-1,DORIS,2023,Örebro University
https://researchdata.se/en/catalogue/dataset/2021-280-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-282-1,DORIS,2021,Umeå University
https://researchdata.se/en/catalogue/dataset/2021-278-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-285-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-291-1,DORIS,2022,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-299-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-290-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-287-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-294-1,DORIS,2021,Stockholm University
https://researchdata.se/en/catalogue/dataset/2021-306-1,DORIS,2021,Kristianstad University
https://researchdata.se/en/catalogue/dataset/2021-303-1,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2021-302-1,DORIS,2022,SMHI - Swedish Meteorological and Hydrological Institute
https://researchdata.se/en/catalogue/dataset/2021-307-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-310-1,DORIS,2024,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-311-1,DORIS,2024,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-314-1,DORIS,2021,Lund University
https://researchdata.se/en/catalogue/dataset/2021-312-1,DORIS,2022,Stockholm University
https://researchdata.se/en/catalogue/dataset/2021-316-1,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2021-318-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2021-319-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-322-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-315-1,DORIS,2022,Lund University
https://researchdata.se/en/catalogue/dataset/2021-323-1,DORIS,2022,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2021-334-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-330-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-332-1,DORIS,2022,RISE Research Institutes of Sweden
https://researchdata.se/en/catalogue/dataset/2021-331-1,DORIS,2022,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-338-1,DORIS,2021,Lund University
https://researchdata.se/en/catalogue/dataset/2021-339-1,DORIS,2022,University of Skövde
https://researchdata.se/en/catalogue/dataset/2021-335-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-340-1,DORIS,2022,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-344-1,DORIS,2022,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-44-1,DORIS,2021,Stockholm University
https://researchdata.se/en/catalogue/dataset/2021-45-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-34-1,DORIS,2023,Södertörns högskola
https://researchdata.se/en/catalogue/dataset/2021-5-1,DORIS,2022,Umeå University
https://researchdata.se/en/catalogue/dataset/2021-5-2,DORIS,2022,Umeå University
https://researchdata.se/en/catalogue/dataset/2021-38-1,DORIS,2021,Royal Institute of Technology
https://researchdata.se/en/catalogue/dataset/2021-46-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-58-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-59-1,DORIS,2021,University of Skövde
https://researchdata.se/en/catalogue/dataset/2021-60-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-50-1,DORIS,2021,Lund University
https://researchdata.se/en/catalogue/dataset/2021-82-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-77-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-78-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-68-1,DORIS,2021,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2022-10-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-90-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-91-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-101-1,DORIS,2022,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2022-104-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-112-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-11-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-105-1,DORIS,2024,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2022-113-1,DORIS,2022,Karolinska Institutet
